,fields.categorieentreprise,fields.etatadministratifunitelegale,fields.geolocetablissement,fields.trancheeffectifsunitelegale,fields.trancheeffectifsunitelegaletriable,fields.siretsiegeunitelegale,fields.siret,fields.etablissementsiege,fields.sectionunitelegale,fields.codepostaletablissement,fields.caractereemployeurunitelegale,fields.datecreationunitelegale,fields.datecreationetablissement,fields.denominationunitelegale,geometry.type,geometry.coordinates
12,PME,Active,"[48.823047, 2.341441]",20 à 49 salariés,12,32329988300021,32329988300021,oui,Santé humaine et action sociale,75014.0,Oui,1981-11-01,1981-11-01,ASS FORMA AIDE REINSERT,Point,"[2.341441, 48.823047]"
13,,Active,"[48.995031, 2.202554]",,,83415550900013,83415550900013,oui,Autres activités de services,95370.0,Non,2017-09-28,2017-09-28,ASSOCIATION D'AIDE ET D'INTEGRATION DES AFGHANS DE FRANCE ET D'EUROPE,Point,"[2.202554, 48.995031]"
14,,Active,"[48.891956, 2.363846]",,,75198474100023,75198474100023,oui,Autres activités de services,75018.0,Non,2010-10-06,2014-09-15,URBALOVE,Point,"[2.363846, 48.891956]"
15,PME,Active,"[48.898458, 2.371478]",3 à 5 salariés,02,80884349400028,80884349400028,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,2014-12-02,2016-11-16,ROSA PARKS (PARIS),Point,"[2.371478, 48.898458]"
16,PME,Active,"[48.873995, 2.359166]",6 à 9 salariés,03,40318426000012,40318426000012,oui,Autres activités de services,75010.0,Oui,1992-11-25,1992-11-25,CENTRE ACCUEIL MEDIC REINSER ECON ET SOC,Point,"[2.359166, 48.873995]"
17,PME,Active,"[48.832165, 2.399334]",0 salarié,00,48486335200023,48486335200023,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,2005-07-01,2005-07-01,ASS SPORTIVE JEUNESSE DOUZIEME,Point,"[2.399334, 48.832165]"
18,,Active,"[48.854055, 2.326676]",,,79789732900018,79789732900018,oui,Autres activités de services,75007.0,Non,2013-02-16,2013-02-16,COMITE SEVRES CROIX ROUGE 6E/7E,Point,"[2.326676, 48.854055]"
19,,Active,"[48.840488, 2.392507]",,,51516717900024,51516717900024,oui,"Arts, spectacles et activités récréatives",75012.0,Non,2006-09-06,2009-10-21,VERTICAL12,Point,"[2.392507, 48.840488]"
20,,Active,"[48.840839, 2.389444]",,,82746823200018,82746823200018,oui,Autres activités de services,75012.0,Non,2014-07-22,2014-07-22,COLLECTIF B-EL,Point,"[2.389444, 48.840839]"
21,PME,Active,"[48.866118, 2.35075]",Etablissement non employeur,-1,42862842400023,42862842400023,oui,"Arts, spectacles et activités récréatives",75002.0,Oui,1999-04-23,2006-04-09,OMBELLE,Point,"[2.35075, 48.866118]"
22,PME,Active,"[48.87346, 2.390941]",1 ou 2 salariés,01,81278104500032,81278104500024,non,Autres activités de services,75020.0,Non,2015-06-08,2017-07-27,LES MEDIATEURS ET LES MEDIATRICES DU 20EME LES MEDIATEURS ET MEDIATRICES SOCIAUX ET CULTURELLES,Point,"[2.390941, 48.87346]"
23,PME,Active,"[48.820479, 2.373762]",6 à 9 salariés,03,42002748400021,42002748400021,oui,"Arts, spectacles et activités récréatives",75013.0,Oui,1998-04-01,2007-05-29,PARIS 13 ATLETICO,Point,"[2.373762, 48.820479]"
24,PME,Active,"[48.840488, 2.392507]",1 ou 2 salariés,01,50963009100023,50963009100023,oui,Autres activités de services,75012.0,Oui,2008-07-31,2010-01-30,BOLLY DEEWANI,Point,"[2.392507, 48.840488]"
25,,Active,"[48.867448, 2.378999]",,,50069588700025,50069588700025,oui,Autres activités de services,75011.0,Non,2006-02-20,2013-01-26,ASS PAZAPAS BELLEVILLE,Point,"[2.378999, 48.867448]"
26,PME,Active,"[48.892171, 2.379123]",1 ou 2 salariés,01,82277459200015,82277459200015,oui,Autres activités de services,75019.0,Oui,2016-09-21,2016-09-21,APERTURA,Point,"[2.379123, 48.892171]"
27,PME,Active,"[48.8692, 2.364793]",,,81864846100015,81864846100015,oui,Autres activités de services,75010.0,Oui,2015-12-22,2015-12-22,ACTES ET CITES,Point,"[2.364793, 48.8692]"
28,PME,Active,"[48.898308, 2.337256]",3 à 5 salariés,02,41523786600025,41523786600025,oui,Santé humaine et action sociale,75018.0,Oui,1997-03-26,1999-04-01,MA PLUME EST A VOUS,Point,"[2.337256, 48.898308]"
29,PME,Active,"[48.860722, 2.385405]",1 ou 2 salariés,01,53071194400021,53071194400021,oui,Autres activités de services,75011.0,Oui,2010-10-11,2012-10-26,EN CORPS,Point,"[2.385405, 48.860722]"
30,,Active,"[48.836003, 2.312531]",,,85033080400012,85033080400012,oui,Autres activités de services,75015.0,Non,2019-02-07,2019-02-07,"ESPACE DE PARTAGE, EDUCATIF, SOCIAL ET ENVIRONNEMENTAL DU QUARTIER NECKER-FALGUIERE",Point,"[2.312531, 48.836003]"
31,PME,Active,"[48.870767, 2.381267]",6 à 9 salariés,03,53487056300044,53487056300044,oui,Autres activités de services,75020.0,Oui,2010-06-28,2019-07-01,ASSOCIATION BELLEVILLE CITOYENNE,Point,"[2.381267, 48.870767]"
32,PME,Active,"[48.827122, 2.306631]",1 ou 2 salariés,01,48828134600038,48828134600038,oui,Information et communication,75014.0,Oui,2006-01-18,2011-07-01,LES JARDINS NUMERIQUES,Point,"[2.306631, 48.827122]"
33,,Active,"[48.860084, 2.341064]",,,52069362300016,52069362300016,oui,Autres activités de services,75001.0,Non,1983-07-07,1983-07-07,COMITE MUNICIPAL D'ANIMATION DU PREMIER ARRONDISSEMENT,Point,"[2.341064, 48.860084]"
34,PME,Active,"[48.883017, 2.392713]",,,80140939200017,80140939200017,oui,Autres activités de services,75019.0,Oui,2014-02-05,2014-02-05,COURTE ECHELLE PARIS,Point,"[2.392713, 48.883017]"
35,,Active,"[48.862293, 2.399418]",,,82035598000021,82035598000021,oui,Autres activités de services,75020.0,Non,2016-04-28,2018-12-10,YOSAKOI PARIS HINODEMAI,Point,"[2.399418, 48.862293]"
36,,Active,"[48.879193, 2.362605]",,,84203101500014,84203101500014,oui,Autres activités de services,75010.0,Non,2018-08-09,2018-08-09,EDENI SOCIAL CLUB,Point,"[2.362605, 48.879193]"
37,PME,Active,"[48.816961, 2.334575]",Etablissement non employeur,-1,42263970800011,42263970800011,oui,Autres activités de services,75014.0,Non,1999-01-01,1999-01-01,UNION ELEVE ECOLE NATION SUP ART METIER,Point,"[2.334575, 48.816961]"
38,,Active,"[48.846689, 2.396981]",,,84996174300010,84996174300010,oui,Autres activités de services,75012.0,Non,2016-10-31,2016-10-31,LE CHENE ET L'HIBISCUS,Point,"[2.396981, 48.846689]"
39,,Active,"[48.83579, 2.324845]",Etablissement non employeur,-1,44750543900011,44750543900011,oui,"Arts, spectacles et activités récréatives",75014.0,Non,1997-10-15,1997-10-15,PLANET ROLLER,Point,"[2.324845, 48.83579]"
40,PME,Active,"[48.864045, 2.362217]",1 ou 2 salariés,01,78870617400034,78870617400034,oui,Autres activités de services,75003.0,Oui,2009-10-28,2018-12-27,VIKING CLUB PARIS,Point,"[2.362217, 48.864045]"
41,PME,Active,"[48.89416, 2.405132]",Etablissement non employeur,-1,48874518300043,48874518300043,oui,"Arts, spectacles et activités récréatives",93500.0,Oui,2006-01-01,2016-04-01,PASSAGES,Point,"[2.405132, 48.89416]"
42,PME,Active,"[48.869005, 2.33601]",1 ou 2 salariés,01,41938746900044,41938746900036,non,Autres activités de services,75002.0,Non,1998-06-17,2013-11-29,LES JEUNES EUROPEENS-FRANCE,Point,"[2.33601, 48.869005]"
43,,Active,"[48.976575, 2.30158]",,,87917440700012,87917440700012,oui,Autres activités de services,95880.0,Non,2019-10-24,2019-10-24,CRASH TEST,Point,"[2.30158, 48.976575]"
44,,Active,"[48.838939, 2.319986]",,,82877149300016,82877149300016,oui,Autres activités de services,75014.0,Non,2016-03-17,2016-03-17,LA COOP DES COMMUNS,Point,"[2.319986, 48.838939]"
45,PME,Active,"[48.873057, 2.316605]",0 salarié,00,81892274200023,81892274200023,oui,Santé humaine et action sociale,75008.0,Oui,2016-02-01,2019-06-04,EMPOWER MY MAMA,Point,"[2.316605, 48.873057]"
46,PME,Active,"[48.901464, 2.272115]",3 à 5 salariés,02,79767216900019,79767216900019,oui,Autres activités de services,92400.0,Oui,2013-09-16,2013-09-16,CULTURE PRIORITAIRE,Point,"[2.272115, 48.901464]"
47,PME,Active,"[48.872127, 2.373201]",10 à 19 salariés,11,41000945000017,41000945000017,oui,Santé humaine et action sociale,75010.0,Oui,1996-10-01,1996-10-01,ASSOCIATION D ASSISTANCE SCOLAIRE LINGUISTIQUE ET CULTURELLE,Point,"[2.373201, 48.872127]"
48,PME,Active,"[48.838653, 2.407688]",3 à 5 salariés,02,51774946100029,51774946100029,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,2008-09-18,2010-10-15,COMITE DEPARTEMENTAL DE BADMINTON PARIS,Point,"[2.407688, 48.838653]"
49,PME,Active,"[48.890379, 2.385889]",10 à 19 salariés,11,33973531800018,33973531800018,oui,Autres activités de services,75019.0,Oui,1986-10-28,1986-10-28,ASSOCIATION CRECHE AVENIR,Point,"[2.385889, 48.890379]"
50,,Active,"[48.869163, 2.360144]",,,82152110100021,82152110100021,oui,Autres activités de services,75010.0,Non,2016-06-22,2017-12-15,B.E. ART,Point,"[2.360144, 48.869163]"
51,PME,Active,"[48.870417, 2.374554]",1 ou 2 salariés,01,78434003600051,78434003600044,non,"Arts, spectacles et activités récréatives",75011.0,Oui,1900-01-01,2010-06-22,ASSOCIATION ORCHESTRE CONCERTS LAMOUREUX,Point,"[2.374554, 48.870417]"
52,PME,Active,"[48.820784, 2.294481]",1 ou 2 salariés,01,39052131800043,39052131800043,oui,"Arts, spectacles et activités récréatives",92170.0,Oui,1992-07-01,2020-02-20,ARS MOBILIS,Point,"[2.294481, 48.820784]"
53,PME,Active,"[48.883416, 2.390742]",Etablissement non employeur,-1,45073683000024,45073683000024,oui,"Arts, spectacles et activités récréatives",75019.0,Non,2002-06-04,2006-05-27,F.C SOLITAIRES PARIS-EST,Point,"[2.390742, 48.883416]"
54,ETI,Active,"[48.84202, 2.397968]",500 à 999 salariés,41,77568109100010,77568109100010,oui,Santé humaine et action sociale,75012.0,Oui,1900-01-01,1900-01-01,FONDATION DE ROTHSCHILD,Point,"[2.397968, 48.84202]"
55,PME,Active,"[48.887907, 2.354307]",10 à 19 salariés,11,40864600800057,40864600800057,oui,Autres activités de services,75018.0,Oui,1996-07-01,2011-07-04,ACCUEIL GOUTTE D'OR,Point,"[2.354307, 48.887907]"
56,,Active,"[48.824045, 2.361407]",,,51747032400016,51747032400016,oui,Autres activités de services,75013.0,Non,1962-11-15,1962-11-15,ASSOCIATION SPORTIVE DU LYCEE GABRIEL FAURE,Point,"[2.361407, 48.824045]"
57,PME,Active,"[48.89064, 2.375617]",10 à 19 salariés,11,42294844800044,42294844800044,oui,Autres activités de services,75019.0,Oui,1997-12-10,2007-11-22,PROJETS-19,Point,"[2.375617, 48.89064]"
58,PME,Active,"[48.851075, 2.372733]",3 à 5 salariés,02,48188115900026,48188115900026,oui,Autres activités de services,75012.0,Oui,2004-06-14,2009-10-10,ASS GRAINE DE PARTAGE,Point,"[2.372733, 48.851075]"
59,,Active,"[48.861316, 2.362025]",,,82090336700028,82090336700010,non,Autres activités de services,75003.0,Non,2015-03-16,2015-03-16,A. TEMPO (ASSOCIATION TRANS-EUROPEENNE DE MUSIQUE PRO-ORCHESTRALE),Point,"[2.362025, 48.861316]"
60,,Active,"[48.877659, 2.388021]",,,53810561000025,53810561000025,oui,Autres activités de services,75019.0,Non,2011-10-07,2017-11-07,AGORA,Point,"[2.388021, 48.877659]"
61,PME,Active,"[48.8591, 2.30484]",Etablissement non employeur,-1,44926901800031,44926901800031,oui,"Arts, spectacles et activités récréatives",75007.0,Oui,2000-08-09,2006-04-01,ALLIANCE,Point,"[2.30484, 48.8591]"
62,PME,Active,"[48.848962, 2.36528]",50 à 99 salariés,21,31646523600032,31646523600032,oui,"Activités spécialisées, scientifiques et techniques",75004.0,Oui,1979-01-01,1998-06-01,ASS GESTION RESEAU MESUR POLLUT ATMOSPH,Point,"[2.36528, 48.848962]"
63,,Active,"[48.854605, 2.321629]",,,54002869300013,54002869300013,oui,"Activités spécialisées, scientifiques et techniques",75007.0,Non,2010-10-06,2010-10-06,ASSOCIATION MEDECINE PHARMACIE SCIENCES,Point,"[2.321629, 48.854605]"
64,PME,Active,"[48.870375, 2.380203]",6 à 9 salariés,03,37796076000033,37796076000033,oui,"Arts, spectacles et activités récréatives",75020.0,Oui,1990-01-04,2005-09-26,ASSOCIATION LES ATELIERS DU SPECTACLE,Point,"[2.380203, 48.870375]"
65,,Active,"[48.857728, 2.407787]",,,78881199000019,78881199000019,oui,Autres activités de services,75020.0,Non,2010-11-05,2010-11-05,LE 56,Point,"[2.407787, 48.857728]"
66,,Active,"[48.840488, 2.392507]",,,50043388300021,50043388300021,oui,Autres activités de services,75012.0,Non,2004-02-01,2011-02-01,UN JEUNE UN METIER,Point,"[2.392507, 48.840488]"
67,PME,Active,"[48.83638, 2.319764]",1 ou 2 salariés,01,53044620200018,53044620200018,oui,Autres activités de services,75014.0,Oui,2010-12-23,2010-12-23,ASFM/YACHAD,Point,"[2.319764, 48.83638]"
68,PME,Active,"[47.853044, 3.087046]",1 ou 2 salariés,01,42141414500027,42141414500027,oui,"Arts, spectacles et activités récréatives",89120.0,Oui,1997-08-01,2015-09-25,A2R COMPAGNIE,Point,"[3.087046, 47.853044]"
69,PME,Active,"[48.865688, 2.38988]",6 à 9 salariés,03,78426339400057,78426339400057,oui,Autres activités de services,75020.0,Oui,1900-01-01,2000-11-02,FEDERATION DES ASSOCIATIONS DE SOLIDARITE AVEC TOU-TE-S LES IMMIGRE-E-S,Point,"[2.38988, 48.865688]"
70,PME,Active,"[48.880406, 2.376545]",,,50488790200022,50488790200022,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,2008-05-05,2015-05-05,SAND SYSTEM,Point,"[2.376545, 48.880406]"
71,,Active,"[48.886379, 2.348669]",,,82888872700017,82888872700017,oui,Information et communication,75018.0,Oui,2017-03-06,2017-03-06,THE HIDDEN MOTHER,Point,"[2.348669, 48.886379]"
72,PME,Active,"[48.829971, 2.346472]",20 à 49 salariés,12,47927175100071,47927175100071,oui,Autres activités de services,75013.0,Oui,2004-10-01,2014-04-24,LE ROCHER OASIS DES CITES,Point,"[2.346472, 48.829971]"
73,PME,Active,"[48.878415, 2.257208]",Etablissement non employeur,-1,47774217500011,47774217500011,oui,Autres activités de services,92200.0,Non,2004-06-10,2004-06-10,ENFANT ANIMAL NATURE,Point,"[2.257208, 48.878415]"
74,PME,Active,"[48.890379, 2.385889]",20 à 49 salariés,12,31982198900013,31982198900013,oui,Santé humaine et action sociale,75019.0,Oui,1980-07-10,1980-07-10,ASS GAN YAEL CRECHE JARDIN ENF,Point,"[2.385889, 48.890379]"
75,PME,Active,"[48.85171, 2.355609]",10 à 19 salariés,11,77566206700088,77566206700088,oui,Santé humaine et action sociale,75004.0,Oui,1983-01-01,1983-01-01,ARC - EQUIPES D'AMITIE ARC-EA,Point,"[2.355609, 48.85171]"
76,PME,Active,"[48.897292, 2.344361]",1 ou 2 salariés,01,83801776200017,83801776200017,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2017-09-29,2017-09-29,ENTOURAGE CONTEMPO,Point,"[2.344361, 48.897292]"
77,,Active,"[48.857122, 2.278481]",,,84432698300013,84432698300013,oui,Autres activités de services,75016.0,Non,2018-11-13,2018-11-13,ASSOCIATION DES COMMERCANTS DE LA RUE DE L'ANNONCIATION ET DES RUES ADJACENTES,Point,"[2.278481, 48.857122]"
78,,Active,"[48.843543, 2.306179]",,,49489782000028,49489782000028,oui,Autres activités de services,75015.0,Non,1978-02-24,2009-09-15,ASSOC COMMERCANTS LECOURBE-CAMBRONNE,Point,"[2.306179, 48.843543]"
79,PME,Active,"[48.881432, 2.333126]",20 à 49 salariés,12,32418249200037,32418249200037,oui,"Arts, spectacles et activités récréatives",75009.0,Oui,1981-12-09,2004-07-09,INTERNATIONAL VISUAL THEATRE,Point,"[2.333126, 48.881432]"
80,,Active,"[48.826144, 2.324657]",,,84314942800016,84314942800016,oui,Autres activités de services,75014.0,Non,2018-05-11,2018-05-11,C14-PARIS,Point,"[2.324657, 48.826144]"
81,PME,Active,"[48.859652, 2.379361]",20 à 49 salariés,12,39861308300045,39861308300045,oui,Autres activités de services,75011.0,Oui,1992-10-18,2004-01-01,SOLIDARITE SIDA,Point,"[2.379361, 48.859652]"
82,PME,Active,"[48.883257, 2.36004]",100 à 199 salariés,22,34878236800032,34878236800032,oui,Santé humaine et action sociale,75010.0,Oui,1986-08-22,1999-10-22,ASSOCIATION ESTRELIA,Point,"[2.36004, 48.883257]"
83,,Active,"[48.880406, 2.376545]",,,82004205900015,82004205900015,oui,Autres activités de services,75019.0,Non,1982-01-01,1982-01-01,COMITE D ENTENTE DES ANCIENS COMBATTANTS,Point,"[2.376545, 48.880406]"
84,PME,Active,"[48.893015, 2.322938]",6 à 9 salariés,03,50471967500010,50471967500010,oui,Autres activités de services,75017.0,Oui,2008-03-28,2008-03-28,REUSSIR MOI AUSSI,Point,"[2.322938, 48.893015]"
85,PME,Active,"[48.890069, 2.347335]",1 ou 2 salariés,01,43986624500020,43986624500020,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,1999-06-14,2007-06-15,ASS L'ECLABOUSSEE,Point,"[2.347335, 48.890069]"
86,PME,Active,"[48.849689, 2.376028]",3 à 5 salariés,02,41139835700011,41139835700011,oui,Santé humaine et action sociale,75012.0,Oui,1997-02-03,1997-02-03,ORIGAMI,Point,"[2.376028, 48.849689]"
87,PME,Active,"[48.85163, 2.320508]",6 à 9 salariés,03,34835660100024,34835660100024,oui,Autres activités de services,75007.0,Oui,1988-09-01,1994-03-01,CONNAITRE PROTEGER NATURE VAL DE SEINE,Point,"[2.320508, 48.85163]"
88,PME,Active,"[48.828446, 2.330758]",3 à 5 salariés,02,48805780300014,48805780300014,oui,Autres activités de services,75014.0,Oui,2005-09-08,2005-09-08,ASS LES TRANSMETTEURS,Point,"[2.330758, 48.828446]"
89,PME,Active,"[48.890069, 2.347335]",1 ou 2 salariés,01,45047976100030,45047976100030,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2003-05-28,2010-01-01,COLLECTIF L ART AU QUOTIDIEN,Point,"[2.347335, 48.890069]"
90,PME,Active,"[48.891062, 2.349394]",1 ou 2 salariés,01,48997162200050,48997162200050,oui,Information et communication,75018.0,Oui,2006-03-01,2014-07-01,LA FABRIQUE DOCUMENTAIRE,Point,"[2.349394, 48.891062]"
91,PME,Active,"[48.855811, 2.360051]",1 ou 2 salariés,01,79270472800023,79270472800023,oui,Autres activités de services,75004.0,Oui,2013-03-20,2018-07-01,ITALIA IN RETE RESEAU ASSOCIATIF FRANCO ITALIEN,Point,"[2.360051, 48.855811]"
92,PME,Active,"[48.896791, 2.330824]",20 à 49 salariés,12,51078963900026,51078963900026,oui,Autres activités de services,75018.0,Oui,2008-12-03,2009-12-15,ASS D ACCOMPAGNEMENT GLOBAL CONTRE L EXCLUSION,Point,"[2.330824, 48.896791]"
93,,Active,"[48.834899, 2.302243]",,,52513378100019,52513378100019,oui,Autres activités de services,75015.0,Non,1993-01-11,1993-01-11,AXE DE SOLIDARITE POUR LA PROMOTION A L'EDUCATION ET A LA CULTURE POUR TOUS,Point,"[2.302243, 48.834899]"
94,PME,Active,"[48.896324, 2.330718]",1 ou 2 salariés,01,82927951200018,82927951200018,oui,Autres activités de services,75018.0,Non,2017-01-06,2017-01-06,DARADJA,Point,"[2.330718, 48.896324]"
95,PME,Active,"[48.841902, 2.350959]",3 à 5 salariés,02,49522995700024,49522995700024,oui,"Arts, spectacles et activités récréatives",75005.0,Oui,2007-01-02,2015-12-02,COMPAGNIE DU THEATRE MORDORE,Point,"[2.350959, 48.841902]"
96,PME,Active,"[48.877256, 2.363448]",20 à 49 salariés,12,43281485300029,43281485300029,oui,Enseignement,75010.0,Oui,2000-03-10,2017-10-13,COLOMBBUS,Point,"[2.363448, 48.877256]"
97,PME,Active,"[48.875605, 2.387339]",1 ou 2 salariés,01,48840115900022,48840115900022,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,2005-09-05,2008-10-16,MATADOR,Point,"[2.387339, 48.875605]"
98,,Active,"[48.856008, 2.327485]",,,48761203800017,48761203800017,oui,Autres activités de services,75007.0,Non,2005-04-14,2005-04-14,PARTAGE 5.6.7,Point,"[2.327485, 48.856008]"
99,PME,Active,"[48.883011, 2.389488]",10 à 19 salariés,11,82398333300019,82398333300019,oui,Autres activités de services,75019.0,Oui,2016-11-03,2016-11-03,D2L,Point,"[2.389488, 48.883011]"
100,PME,Active,"[48.84244, 2.327646]",Etablissement non employeur,-1,48004476700014,48004476700014,oui,"Arts, spectacles et activités récréatives",75014.0,Oui,2002-07-25,2002-07-25,ARTS ET IMAGES DU MONDE,Point,"[2.327646, 48.84244]"
101,PME,Active,"[48.892586, 2.378328]",6 à 9 salariés,03,34296799900018,34296799900018,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,1987-10-01,1987-10-01,SOUDE ATHETIQUE CLUB ARTS MARTIAUX PARIS,Point,"[2.378328, 48.892586]"
102,PME,Active,"[48.834716, 2.449079]",10 à 19 salariés,11,39864093800021,39864093800021,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,1994-09-23,1999-10-18,ATELIER DE PARIS CAROLYN CARLSON,Point,"[2.449079, 48.834716]"
103,PME,Active,"[48.764645, 2.049622]",Etablissement non employeur,-1,79874148400017,79874148400017,oui,"Arts, spectacles et activités récréatives",78960.0,Oui,2013-10-14,2013-10-14,BE AWESOME L'ART DE LA RENCONTRE ET DE LA RECONCILIATON,Point,"[2.049622, 48.764645]"
104,PME,Active,"[48.824324, 2.375526]",3 à 5 salariés,02,32464467300067,32464467300067,oui,Autres activités de services,75013.0,Oui,1982-01-01,2013-11-18,FRANCE NATURE ENVIRONNEMENT IDF,Point,"[2.375526, 48.824324]"
105,PME,Active,"[48.888952, 2.392454]",10 à 19 salariés,11,43353723000040,43353723000040,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,2000-08-03,2014-01-01,THEATRE PARIS VILLETTE,Point,"[2.392454, 48.888952]"
106,,Active,"[48.892586, 2.378328]",,,85242580000012,85242580000012,oui,"Arts, spectacles et activités récréatives",75019.0,Non,2019-06-28,2019-06-28,JE POSE CA LA,Point,"[2.378328, 48.892586]"
107,PME,Active,"[48.862435, 2.410445]",1 ou 2 salariés,01,81920027000018,81920027000018,oui,"Arts, spectacles et activités récréatives",75020.0,Non,2015-09-28,2015-09-28,FOOTBALL CLUB PARIS 20,Point,"[2.410445, 48.862435]"
108,PME,Active,"[48.855155, 2.430709]",100 à 199 salariés,22,77566314900273,77566314900273,oui,Santé humaine et action sociale,93100.0,Oui,1900-01-01,2014-07-01,MOUVEMENT ATD QUART MONDE,Point,"[2.430709, 48.855155]"
109,PME,Active,"[48.829021, 2.317863]",3 à 5 salariés,02,38937771400032,38937771400032,oui,"Arts, spectacles et activités récréatives",75014.0,Oui,1989-08-16,2016-03-23,COMPAGNIE A FORCE DE REVER,Point,"[2.317863, 48.829021]"
110,PME,Active,"[48.824747, 2.365283]",50 à 99 salariés,21,45297468600019,45297468600019,oui,Santé humaine et action sociale,75013.0,Oui,2004-02-13,2004-02-13,REGIE DE QUARTIERS TELA 13,Point,"[2.365283, 48.824747]"
111,PME,Active,"[48.888038, 2.367628]",1 ou 2 salariés,01,44116591700069,44116591700051,non,"Arts, spectacles et activités récréatives",75019.0,Oui,2002-02-08,2009-01-14,COMPAGNIE VARSORIO,Point,"[2.367628, 48.888038]"
112,PME,Active,"[48.833612, 2.366527]",1 ou 2 salariés,01,43437704000028,43437704000028,oui,"Arts, spectacles et activités récréatives",75013.0,Non,1998-10-21,2006-12-17,COMITE DEPARTEMENTAL DE PARIS FOOTBALL,Point,"[2.366527, 48.833612]"
113,PME,Active,"[48.863078, 2.354327]",0 salarié,00,82863029300011,82863029300011,oui,Autres activités de services,75003.0,Oui,2014-01-28,2014-01-28,ASSOCIATION DES JOURNALISTES LESBIENNES GAY BI TRANS,Point,"[2.354327, 48.863078]"
114,,Active,"[48.89359, 2.350803]",,,50173042800015,50173042800015,oui,Autres activités de services,75018.0,Non,2007-12-01,2007-12-01,ASSOCIATION SIMPLON EN FETES,Point,"[2.350803, 48.89359]"
