categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
PME,"[48.887687, 2.353288]",1 ou 2 salariés,1,75200941500015,75200941500015,1,75018,1,2012-05-09,2012-05-09,LA BANDE A GODOT,"2 RUE DE PANAMA, 75018 PARIS 18"
Non productif,"[48.825682, 2.322133]",Etablissement non employeur,-1,53753501500011,53753501500011,1,75014,0,2010-12-06,2010-12-06,EUROCITE LE THINK TANK EUROPEEN PROGRESSISTE,"37 AVENUE JEAN MOULIN, 75014 PARIS 14"
PME,"[48.823047, 2.341441]",20 à 49 salariés,12,32329988300021,32329988300021,1,75014,1,1981-11-01,1981-11-01,ASS FORMA AIDE REINSERT,"48 RUE DE L AMIRAL MOUCHEZ, 75014 PARIS 14"
Non productif,"[48.995031, 2.202554]",Etablissement non employeur,-1,83415550900013,83415550900013,1,95370,0,2017-09-28,2017-09-28,ASSOCIATION D'AIDE ET D'INTEGRATION DES AFGHANS DE FRANCE ET D'EUROPE,"11 AVENUE ARISTIDE MAILLOL, 95370 MONTIGNY-LES-CORMEILLES"
Non productif,"[48.891956, 2.363846]",Etablissement non employeur,-1,75198474100023,75198474100023,1,75018,0,2010-10-06,2014-09-15,URBALOVE,"10 RUE MARC SEGUIN, 75018 PARIS 18"
PME,"[48.898458, 2.371478]",3 à 5 salariés,2,80884349400028,80884349400028,1,75019,1,2014-12-02,2016-11-16,ROSA PARKS (PARIS),"219 BOULEVARD MACDONALD, 75019 PARIS 19"
PME,"[48.873995, 2.359166]",6 à 9 salariés,3,40318426000012,40318426000012,1,75010,1,1992-11-25,1992-11-25,CENTRE ACCUEIL MEDIC REINSER ECON ET SOC,"11 PASSAGE DUBAIL, 75010 PARIS 10"
PME,"[48.832165, 2.399334]",0 salarié,0,48486335200023,48486335200023,1,75012,1,2005-07-01,2005-07-01,ASS SPORTIVE JEUNESSE DOUZIEME,"68 BOULEVARD PONIATOWSKI, 75012 PARIS 12"
Non productif,"[48.854055, 2.326676]",Etablissement non employeur,-1,79789732900018,79789732900018,1,75007,0,2013-02-16,2013-02-16,COMITE SEVRES CROIX ROUGE 6E/7E,"39 RUE DE GRENELLE, 75007 PARIS 7"
Non productif,"[48.840488, 2.392507]",Etablissement non employeur,-1,51516717900024,51516717900024,1,75012,0,2006-09-06,2009-10-21,VERTICAL12,"181 AVENUE DAUMESNIL, 75012 PARIS 12"
Non productif,"[48.840839, 2.389444]",Etablissement non employeur,-1,82746823200018,82746823200018,1,75012,0,2014-07-22,2014-07-22,COLLECTIF B-EL,"15 RUE ELISA LEMONNIER, 75012 PARIS 12"
PME,"[48.866118, 2.35075]",Etablissement non employeur,-1,42862842400023,42862842400023,1,75002,1,1999-04-23,2006-04-09,OMBELLE,"189 RUE SAINT DENIS, 75002 PARIS 2"
PME,"[48.87346, 2.390941]",1 ou 2 salariés,1,81278104500032,81278104500024,0,75020,0,2015-06-08,2017-07-27,LES MEDIATEURS ET LES MEDIATRICES DU 20EME LES MEDIATEURS ET MEDIATRICES SOCIAUX ET CULTURELLES,"1 RUE FREDERICK LEMAITRE, 75020 PARIS 20"
PME,"[48.820479, 2.373762]",6 à 9 salariés,3,42002748400021,42002748400021,1,75013,1,1998-04-01,2007-05-29,PARIS 13 ATLETICO,"1 AVENUE JOSEPH BEDIER, 75013 PARIS 13"
PME,"[48.840488, 2.392507]",1 ou 2 salariés,1,50963009100023,50963009100023,1,75012,1,2008-07-31,2010-01-30,BOLLY DEEWANI,"181 AVENUE DAUMESNIL, 75012 PARIS 12"
Non productif,"[48.867448, 2.378999]",Etablissement non employeur,-1,50069588700025,50069588700025,1,75011,0,2006-02-20,2013-01-26,ASS PAZAPAS BELLEVILLE,"21 RUE MORET, 75011 PARIS 11"
PME,"[48.892171, 2.379123]",1 ou 2 salariés,1,82277459200015,82277459200015,1,75019,1,2016-09-21,2016-09-21,APERTURA,"118 AVENUE DE FLANDRE, 75019 PARIS 19"
PME,"[48.8692, 2.364793]",Etablissement non employeur,-1,81864846100015,81864846100015,1,75010,1,2015-12-22,2015-12-22,ACTES ET CITES,"6 RUE LEON JOUHAUX, 75010 PARIS 10"
PME,"[48.898308, 2.337256]",3 à 5 salariés,2,41523786600025,41523786600025,1,75018,1,1997-03-26,1999-04-01,MA PLUME EST A VOUS,"6 AVENUE PTE DE MONTMARTRE, 75018 PARIS 18"
PME,"[48.860722, 2.385405]",1 ou 2 salariés,1,53071194400021,53071194400021,1,75011,1,2010-10-11,2012-10-26,EN CORPS,"32 RUE MERLIN, 75011 PARIS 11"
Non productif,"[48.836003, 2.312531]",Etablissement non employeur,-1,85033080400012,85033080400012,1,75015,0,2019-02-07,2019-02-07,"ESPACE DE PARTAGE, EDUCATIF, SOCIAL ET ENVIRONNEMENTAL DU QUARTIER NECKER-FALGUIERE","15 RUE GEORGES DUHAMEL, 75015 PARIS 15"
PME,"[48.870767, 2.381267]",6 à 9 salariés,3,53487056300044,53487056300044,1,75020,1,2010-06-28,2019-07-01,ASSOCIATION BELLEVILLE CITOYENNE,"18 RUE BISSON, 75020 PARIS 20"
PME,"[48.827122, 2.306631]",1 ou 2 salariés,1,48828134600038,48828134600038,1,75014,1,2006-01-18,2011-07-01,LES JARDINS NUMERIQUES,"2 RUE WILFRID LAURIER, 75014 PARIS 14"
Non productif,"[48.860084, 2.341064]",Etablissement non employeur,-1,52069362300016,52069362300016,1,75001,0,1983-07-07,1983-07-07,COMITE MUNICIPAL D'ANIMATION DU PREMIER ARRONDISSEMENT,"4 PLACE DU LOUVRE, 75001 PARIS 1"
PME,"[48.883017, 2.392713]",Etablissement non employeur,-1,80140939200017,80140939200017,1,75019,1,2014-02-05,2014-02-05,COURTE ECHELLE PARIS,"14 RUE DE L ALSACE LORRAINE, 75019 PARIS 19"
Non productif,"[48.862293, 2.399418]",Etablissement non employeur,-1,82035598000021,82035598000021,1,75020,0,2016-04-28,2018-12-10,YOSAKOI PARIS HINODEMAI,"18 RUE RAMUS, 75020 PARIS 20"
Non productif,"[48.879193, 2.362605]",Etablissement non employeur,-1,84203101500014,84203101500014,1,75010,0,2018-08-09,2018-08-09,EDENI SOCIAL CLUB,"185 RUE DU FAUBOURG SAINT MARTIN, 75010 PARIS 10"
PME,"[48.816961, 2.334575]",Etablissement non employeur,-1,42263970800011,42263970800011,1,75014,0,1999-01-01,1999-01-01,UNION ELEVE ECOLE NATION SUP ART METIER,"1 AVENUE PIERRE MASSE, 75014 PARIS 14"
Non productif,"[48.846689, 2.396981]",Etablissement non employeur,-1,84996174300010,84996174300010,1,75012,0,2016-10-31,2016-10-31,LE CHENE ET L'HIBISCUS,"21 AVENUE DU BEL AIR, 75012 PARIS 12"
Non productif,"[48.83579, 2.324845]",Etablissement non employeur,-1,44750543900011,44750543900011,1,75014,0,1997-10-15,1997-10-15,PLANET ROLLER,"84 RUE DAGUERRE, 75014 PARIS 14"
PME,"[48.864045, 2.362217]",1 ou 2 salariés,1,78870617400034,78870617400034,1,75003,1,2009-10-28,2018-12-27,VIKING CLUB PARIS,"5 RUE PERREE, 75003 PARIS 3"
PME,"[48.89416, 2.405132]",Etablissement non employeur,-1,48874518300043,48874518300043,1,93500,1,2006-01-01,2016-04-01,PASSAGES,"31 RUE EUGENE ET M L CORNET, 93500 PANTIN"
PME,"[48.869005, 2.33601]",1 ou 2 salariés,1,41938746900044,41938746900036,0,75002,0,1998-06-17,2013-11-29,LES JEUNES EUROPEENS-FRANCE,"2 RUE DE CHOISEUL, 75002 PARIS 2"
Non productif,"[48.976575, 2.30158]",Etablissement non employeur,-1,87917440700012,87917440700012,1,95880,0,2019-10-24,2019-10-24,CRASH TEST,"1 RUE PROSPER TILLET, 95880 ENGHIEN-LES-BAINS"
Non productif,"[48.838939, 2.319986]",Etablissement non employeur,-1,82877149300016,82877149300016,1,75014,0,2016-03-17,2016-03-17,LA COOP DES COMMUNS,"20 RUE DU CDT RENE MOUCHOTTE, 75014 PARIS 14"
PME,"[48.873057, 2.316605]",0 salarié,0,81892274200023,81892274200023,1,75008,1,2016-02-01,2019-06-04,EMPOWER MY MAMA,"10 RUE DE PENTHIEVRE, 75008 PARIS 8"
PME,"[48.901464, 2.272115]",3 à 5 salariés,2,79767216900019,79767216900019,1,92400,1,2013-09-16,2013-09-16,CULTURE PRIORITAIRE,"188 BOULEVARD SAINT DENIS, 92400 COURBEVOIE"
PME,"[48.872127, 2.373201]",10 à 19 salariés,11,41000945000017,41000945000017,1,75010,1,1996-10-01,1996-10-01,ASSOCIATION D ASSISTANCE SCOLAIRE LINGUISTIQUE ET CULTURELLE,"10 RUE BUISSON ST LOUIS, 75010 PARIS 10"
PME,"[48.838653, 2.407688]",3 à 5 salariés,2,51774946100029,51774946100029,1,75012,1,2008-09-18,2010-10-15,COMITE DEPARTEMENTAL DE BADMINTON PARIS,"32 RUE ROTTEMBOURG, 75012 PARIS 12"
PME,"[48.890379, 2.385889]",10 à 19 salariés,11,33973531800018,33973531800018,1,75019,1,1986-10-28,1986-10-28,ASSOCIATION CRECHE AVENIR,"29 RUE DE THIONVILLE, 75019 PARIS 19"
Non productif,"[48.869163, 2.360144]",Etablissement non employeur,-1,82152110100021,82152110100021,1,75010,0,2016-06-22,2017-12-15,B.E. ART,"7 RUE DE LANCRY, 75010 PARIS 10"
PME,"[48.870417, 2.374554]",1 ou 2 salariés,1,78434003600051,78434003600044,0,75011,1,1900-01-01,2010-06-22,ASSOCIATION ORCHESTRE CONCERTS LAMOUREUX,"5 PASSAGE PIVER, 75011 PARIS 11"
PME,"[48.820784, 2.294481]",1 ou 2 salariés,1,39052131800043,39052131800043,1,92170,1,1992-07-01,2020-02-20,ARS MOBILIS,"19 AVENUE VERDUN, 92170 VANVES"
PME,"[48.883416, 2.390742]",Etablissement non employeur,-1,45073683000024,45073683000024,1,75019,0,2002-06-04,2006-05-27,F.C SOLITAIRES PARIS-EST,"8 RUE DE LA SOLIDARITE, 75019 PARIS 19"
ETI,"[48.84202, 2.397968]",500 à 999 salariés,41,77568109100010,77568109100010,1,75012,1,1900-01-01,1900-01-01,FONDATION DE ROTHSCHILD,"76 RUE DE PICPUS, 75012 PARIS 12"
PME,"[48.887907, 2.354307]",10 à 19 salariés,11,40864600800057,40864600800057,1,75018,1,1996-07-01,2011-07-04,ACCUEIL GOUTTE D'OR,"26 RUE DE LAGHOUAT, 75018 PARIS 18"
Non productif,"[48.824045, 2.361407]",Etablissement non employeur,-1,51747032400016,51747032400016,1,75013,0,1962-11-15,1962-11-15,ASSOCIATION SPORTIVE DU LYCEE GABRIEL FAURE,"81 AVENUE DE CHOISY, 75013 PARIS 13"
PME,"[48.89064, 2.375617]",10 à 19 salariés,11,42294844800044,42294844800044,1,75019,1,1997-12-10,2007-11-22,PROJETS-19,"9 RUE MATHIS, 75019 PARIS 19"
PME,"[48.851075, 2.372733]",3 à 5 salariés,2,48188115900026,48188115900026,1,75012,1,2004-06-14,2009-10-10,ASS GRAINE DE PARTAGE,"51 RUE DE CHARENTON, 75012 PARIS 12"
Non productif,"[48.861316, 2.362025]",Etablissement non employeur,-1,82090336700028,82090336700010,0,75003,0,2015-03-16,2015-03-16,A. TEMPO (ASSOCIATION TRANS-EUROPEENNE DE MUSIQUE PRO-ORCHESTRALE),"8 RUE DE SAINTONGE, 75003 PARIS 3"
Non productif,"[48.877659, 2.388021]",Etablissement non employeur,-1,53810561000025,53810561000025,1,75019,0,2011-10-07,2017-11-07,AGORA,"60 RUE DE LA VILLETTE, 75019 PARIS 19"
PME,"[48.8591, 2.30484]",Etablissement non employeur,-1,44926901800031,44926901800031,1,75007,1,2000-08-09,2006-04-01,ALLIANCE,"115 RUE ST DOMINIQUE, 75007 PARIS 7"
PME,"[48.848962, 2.36528]",50 à 99 salariés,21,31646523600032,31646523600032,1,75004,1,1979-01-01,1998-06-01,ASS GESTION RESEAU MESUR POLLUT ATMOSPH,"7 RUE CRILLON, 75004 PARIS 4"
Non productif,"[48.854605, 2.321629]",Etablissement non employeur,-1,54002869300013,54002869300013,1,75007,0,2010-10-06,2010-10-06,ASSOCIATION MEDECINE PHARMACIE SCIENCES,"54 RUE DE VARENNE, 75007 PARIS 7"
PME,"[48.870375, 2.380203]",6 à 9 salariés,3,37796076000033,37796076000033,1,75020,1,1990-01-04,2005-09-26,ASSOCIATION LES ATELIERS DU SPECTACLE,"10 RUE BISSON, 75020 PARIS 20"
Non productif,"[48.857728, 2.407787]",Etablissement non employeur,-1,78881199000019,78881199000019,1,75020,0,2010-11-05,2010-11-05,LE 56,"53 RUE SAINT BLAISE, 75020 PARIS 20"
Non productif,"[48.840488, 2.392507]",Etablissement non employeur,-1,50043388300021,50043388300021,1,75012,0,2004-02-01,2011-02-01,UN JEUNE UN METIER,"181 AVENUE DAUMESNIL, 75012 PARIS 12"
PME,"[48.83638, 2.319764]",1 ou 2 salariés,1,53044620200018,53044620200018,1,75014,1,2010-12-23,2010-12-23,ASFM/YACHAD,"42 RUE DE L OUEST, 75014 PARIS 14"
PME,"[47.853044, 3.087046]",1 ou 2 salariés,1,42141414500027,42141414500027,1,89120,1,1997-08-01,2015-09-25,A2R COMPAGNIE,"ROUTE DES PETITS NAUDINS, 89120 CHARNY OREE DE PUISAYE"
PME,"[48.865688, 2.38988]",6 à 9 salariés,3,78426339400057,78426339400057,1,75020,1,1900-01-01,2000-11-02,FEDERATION DES ASSOCIATIONS DE SOLIDARITE AVEC TOU-TE-S LES IMMIGRE-E-S,"58 RUE DES AMANDIERS, 75020 PARIS 20"
PME,"[48.880406, 2.376545]",Etablissement non employeur,-1,50488790200022,50488790200022,1,75019,1,2008-05-05,2015-05-05,SAND SYSTEM,"20 RUE EDOUARD PAILLERON, 75019 PARIS 19"
Non productif,"[48.886379, 2.348669]",Etablissement non employeur,-1,82888872700017,82888872700017,1,75018,1,2017-03-06,2017-03-06,THE HIDDEN MOTHER,"83 RUE MYRHA, 75018 PARIS 18"
PME,"[48.829971, 2.346472]",20 à 49 salariés,12,47927175100071,47927175100071,1,75013,1,2004-10-01,2014-04-24,LE ROCHER OASIS DES CITES,"91 BOULEVARD AUGUSTE BLANQUI, 75013 PARIS 13"
PME,"[48.878415, 2.257208]",Etablissement non employeur,-1,47774217500011,47774217500011,1,92200,0,2004-06-10,2004-06-10,ENFANT ANIMAL NATURE,"55 BOULEVARD COMMANDANT CHARCOT, 92200 NEUILLY-SUR-SEINE"
PME,"[48.890379, 2.385889]",20 à 49 salariés,12,31982198900013,31982198900013,1,75019,1,1980-07-10,1980-07-10,ASS GAN YAEL CRECHE JARDIN ENF,"29 RUE DE THIONVILLE, 75019 PARIS 19"
PME,"[48.85171, 2.355609]",10 à 19 salariés,11,77566206700088,77566206700088,1,75004,1,1983-01-01,1983-01-01,ARC - EQUIPES D'AMITIE ARC-EA,"8 RUE BUDE, 75004 PARIS 4"
PME,"[48.897292, 2.344361]",1 ou 2 salariés,1,83801776200017,83801776200017,1,75018,1,2017-09-29,2017-09-29,ENTOURAGE CONTEMPO,"79 BOULEVARD ORNANO, 75018 PARIS 18"
Non productif,"[48.857122, 2.278481]",Etablissement non employeur,-1,84432698300013,84432698300013,1,75016,0,2018-11-13,2018-11-13,ASSOCIATION DES COMMERCANTS DE LA RUE DE L'ANNONCIATION ET DES RUES ADJACENTES,"35 RUE DE L ANNONCIATION, 75016 PARIS 16"
Non productif,"[48.843543, 2.306179]",Etablissement non employeur,-1,49489782000028,49489782000028,1,75015,0,1978-02-24,2009-09-15,ASSOC COMMERCANTS LECOURBE-CAMBRONNE,"63 RUE LECOURBE, 75015 PARIS 15"
PME,"[48.881432, 2.333126]",20 à 49 salariés,12,32418249200037,32418249200037,1,75009,1,1981-12-09,2004-07-09,INTERNATIONAL VISUAL THEATRE,"7 CITÉ CHAPTAL, 75009 PARIS 9"
Non productif,"[48.826144, 2.324657]",Etablissement non employeur,-1,84314942800016,84314942800016,1,75014,0,2018-05-11,2018-05-11,C14-PARIS,"9 RUE FRIANT, 75014 PARIS 14"
PME,"[48.859652, 2.379361]",20 à 49 salariés,12,39861308300045,39861308300045,1,75011,1,1992-10-18,2004-01-01,SOLIDARITE SIDA,"16 AVENUE PARMENTIER, 75011 PARIS 11"
PME,"[48.883257, 2.36004]",100 à 199 salariés,22,34878236800032,34878236800032,1,75010,1,1986-08-22,1999-10-22,ASSOCIATION ESTRELIA,"10 RUE PERDONNET, 75010 PARIS 10"
Non productif,"[48.880406, 2.376545]",Etablissement non employeur,-1,82004205900015,82004205900015,1,75019,0,1982-01-01,1982-01-01,COMITE D ENTENTE DES ANCIENS COMBATTANTS,"20 RUE EDOUARD PAILLERON, 75019 PARIS 19"
PME,"[48.893015, 2.322938]",6 à 9 salariés,3,50471967500010,50471967500010,1,75017,1,2008-03-28,2008-03-28,REUSSIR MOI AUSSI,"105 RUE DES MOINES, 75017 PARIS 17"
PME,"[48.890069, 2.347335]",1 ou 2 salariés,1,43986624500020,43986624500020,1,75018,1,1999-06-14,2007-06-15,ASS L'ECLABOUSSEE,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.849689, 2.376028]",3 à 5 salariés,2,41139835700011,41139835700011,1,75012,1,1997-02-03,1997-02-03,ORIGAMI,"8 RUE DE PRAGUE, 75012 PARIS 12"
PME,"[48.85163, 2.320508]",6 à 9 salariés,3,34835660100024,34835660100024,1,75007,1,1988-09-01,1994-03-01,CONNAITRE PROTEGER NATURE VAL DE SEINE,"29 RUE DE BABYLONE, 75007 PARIS 7"
PME,"[48.828446, 2.330758]",3 à 5 salariés,2,48805780300014,48805780300014,1,75014,1,2005-09-08,2005-09-08,ASS LES TRANSMETTEURS,"14 RUE DU COMMANDEUR, 75014 PARIS 14"
PME,"[48.890069, 2.347335]",1 ou 2 salariés,1,45047976100030,45047976100030,1,75018,1,2003-05-28,2010-01-01,COLLECTIF L ART AU QUOTIDIEN,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.891062, 2.349394]",1 ou 2 salariés,1,48997162200050,48997162200050,1,75018,1,2006-03-01,2014-07-01,LA FABRIQUE DOCUMENTAIRE,"73 BOULEVARD BARBES, 75018 PARIS 18"
PME,"[48.855811, 2.360051]",1 ou 2 salariés,1,79270472800023,79270472800023,1,75004,1,2013-03-20,2018-07-01,ITALIA IN RETE RESEAU ASSOCIATIF FRANCO ITALIEN,"10 RUE DU ROI DE SICILE, 75004 PARIS 4"
PME,"[48.896791, 2.330824]",20 à 49 salariés,12,51078963900026,51078963900026,1,75018,1,2008-12-03,2009-12-15,ASS D ACCOMPAGNEMENT GLOBAL CONTRE L EXCLUSION,"17 RUE BERNARD DIMEY, 75018 PARIS 18"
Non productif,"[48.834899, 2.302243]",Etablissement non employeur,-1,52513378100019,52513378100019,1,75015,0,1993-01-11,1993-01-11,AXE DE SOLIDARITE POUR LA PROMOTION A L'EDUCATION ET A LA CULTURE POUR TOUS,"8 RUE DE CRONSTADT, 75015 PARIS 15"
PME,"[48.896324, 2.330718]",1 ou 2 salariés,1,82927951200018,82927951200018,1,75018,0,2017-01-06,2017-01-06,DARADJA,"64 RUE VAUVENARGUES, 75018 PARIS 18"
PME,"[48.841902, 2.350959]",3 à 5 salariés,2,49522995700024,49522995700024,1,75005,1,2007-01-02,2015-12-02,COMPAGNIE DU THEATRE MORDORE,"16 RUE PESTALOZZI, 75005 PARIS 5"
PME,"[48.877256, 2.363448]",20 à 49 salariés,12,43281485300029,43281485300029,1,75010,1,2000-03-10,2017-10-13,COLOMBBUS,"10 RUE DU TERRAGE, 75010 PARIS 10"
PME,"[48.875605, 2.387339]",1 ou 2 salariés,1,48840115900022,48840115900022,1,75019,1,2005-09-05,2008-10-16,MATADOR,"17 RUE DE LA VILLETTE, 75019 PARIS 19"
Non productif,"[48.856008, 2.327485]",Etablissement non employeur,-1,48761203800017,48761203800017,1,75007,0,2005-04-14,2005-04-14,PARTAGE 5.6.7,"3 PLACE ST THOMAS D AQUIN, 75007 PARIS 7"
PME,"[48.883011, 2.389488]",10 à 19 salariés,11,82398333300019,82398333300019,1,75019,1,2016-11-03,2016-11-03,D2L,"1 RUE DE LA SOLIDARITE, 75019 PARIS 19"
PME,"[48.84244, 2.327646]",Etablissement non employeur,-1,48004476700014,48004476700014,1,75014,1,2002-07-25,2002-07-25,ARTS ET IMAGES DU MONDE,"98 BOULEVARD DU MONTPARNASSE, 75014 PARIS 14"
PME,"[48.892586, 2.378328]",6 à 9 salariés,3,34296799900018,34296799900018,1,75019,1,1987-10-01,1987-10-01,SOUDE ATHETIQUE CLUB ARTS MARTIAUX PARIS,"75 RUE DE L OURCQ, 75019 PARIS 19"
PME,"[48.834716, 2.449079]",10 à 19 salariés,11,39864093800021,39864093800021,1,75012,1,1994-09-23,1999-10-18,ATELIER DE PARIS CAROLYN CARLSON,"ROUTE DU CHAMP DE MANOEUVRES, 75012 PARIS 12"
PME,"[48.764645, 2.049622]",Etablissement non employeur,-1,79874148400017,79874148400017,1,78960,1,2013-10-14,2013-10-14,BE AWESOME L'ART DE LA RENCONTRE ET DE LA RECONCILIATON,"2 RUE DES BERGES, 78960 VOISINS-LE-BRETONNEUX"
PME,"[48.824324, 2.375526]",3 à 5 salariés,2,32464467300067,32464467300067,1,75013,1,1982-01-01,2013-11-18,FRANCE NATURE ENVIRONNEMENT IDF,"2 RUE DU DESSOUS DES BERGES, 75013 PARIS 13"
PME,"[48.888952, 2.392454]",10 à 19 salariés,11,43353723000040,43353723000040,1,75019,1,2000-08-03,2014-01-01,THEATRE PARIS VILLETTE,"211 AVENUE JEAN JAURES, 75019 PARIS 19"
Non productif,"[48.892586, 2.378328]",Etablissement non employeur,-1,85242580000012,85242580000012,1,75019,0,2019-06-28,2019-06-28,JE POSE CA LA,"75 RUE DE L OURCQ, 75019 PARIS 19"
PME,"[48.862435, 2.410445]",1 ou 2 salariés,1,81920027000018,81920027000018,1,75020,0,2015-09-28,2015-09-28,FOOTBALL CLUB PARIS 20,"10 RUE JEAN VEBER, 75020 PARIS 20"
PME,"[48.855155, 2.430709]",100 à 199 salariés,22,77566314900273,77566314900273,1,93100,1,1900-01-01,2014-07-01,MOUVEMENT ATD QUART MONDE,"63 RUE BEAUMARCHAIS, 93100 MONTREUIL"
PME,"[48.829021, 2.317863]",3 à 5 salariés,2,38937771400032,38937771400032,1,75014,1,1989-08-16,2016-03-23,COMPAGNIE A FORCE DE REVER,"53 RUE DE L ABBE CARTON, 75014 PARIS 14"
PME,"[48.824747, 2.365283]",50 à 99 salariés,21,45297468600019,45297468600019,1,75013,1,2004-02-13,2004-02-13,REGIE DE QUARTIERS TELA 13,"47 RUE DU JAVELOT, 75013 PARIS 13"
PME,"[48.888038, 2.367628]",1 ou 2 salariés,1,44116591700069,44116591700051,0,75019,1,2002-02-08,2009-01-14,COMPAGNIE VARSORIO,"66 RUE D AUBERVILLIERS, 75019 PARIS 19"
PME,"[48.833612, 2.366527]",1 ou 2 salariés,1,43437704000028,43437704000028,1,75013,0,1998-10-21,2006-12-17,COMITE DEPARTEMENTAL DE PARIS FOOTBALL,"10 SQUARE DUNOIS, 75013 PARIS 13"
PME,"[48.863078, 2.354327]",0 salarié,0,82863029300011,82863029300011,1,75003,1,2014-01-28,2014-01-28,ASSOCIATION DES JOURNALISTES LESBIENNES GAY BI TRANS,"63 RUE BEAUBOURG, 75003 PARIS 3"
Non productif,"[48.89359, 2.350803]",Etablissement non employeur,-1,50173042800015,50173042800015,1,75018,0,2007-12-01,2007-12-01,ASSOCIATION SIMPLON EN FETES,"15 RUE DU SIMPLON, 75018 PARIS 18"
PME,"[48.872782, 2.363236]",6 à 9 salariés,3,48937656600035,48937656600035,1,75010,1,2006-03-08,2011-06-07,CENTRE D'INFORMATION SUR LES DROITS DES FEMMES DE PARIS,"17 RUE JEAN POULMARCH, 75010 PARIS 10"
PME,"[48.870674, 2.390892]",3 à 5 salariés,2,44992063600031,44992063600031,1,75020,1,2002-03-01,2014-04-08,ETHNOART,"39 RUE DES CASCADES, 75020 PARIS 20"
PME,"[48.872516, 2.399281]",1 ou 2 salariés,1,50831309500038,50831309500038,1,75020,1,2008-09-01,2012-10-01,COOPYR-SPORTIF,"23 RUE DU TELEGRAPHE, 75020 PARIS 20"
PME,"[48.879833, 2.344992]",1 ou 2 salariés,1,82139068900031,82139068900023,0,75009,1,2016-07-27,2018-05-04,LE PETIT ESCARGOT,"31 RUE CONDORCET, 75009 PARIS 9"
PME,"[48.835592, 2.325821]",0 salarié,0,53150203700025,53150203700025,1,75014,1,2011-02-11,2011-10-01,DIXLESIC AND CO,"22 RUE DEPARCIEUX, 75014 PARIS 14"
PME,"[48.889291, 2.341564]",1 ou 2 salariés,1,80846605600021,80846605600013,0,75018,0,2014-11-23,2014-11-23,ARKENCIEL COMPAGNIE,"37 RUE LAMARCK, 75018 PARIS 18"
Non productif,"[48.867176, 2.359766]",Etablissement non employeur,-1,89124797500016,89124797500016,1,75003,0,2018-03-03,2018-03-03,BAREFOOT PRODUCTIONS,"19 RUE NOTRE DAME DE NAZARETH, 75003 PARIS 3"
